Total load,,
MW,,
ENTSO-E,,
date,hour,Value
17/01/2022,21,5657.25
17/01/2022,22,5387.25
17/01/2022,23,5104.25
18/01/2022,0,4767.5
18/01/2022,1,4534.25
18/01/2022,2,4349
18/01/2022,3,4297.25
18/01/2022,4,4416
18/01/2022,5,4787.75
18/01/2022,6,5567.5
18/01/2022,7,5949.5
18/01/2022,8,6018.75
18/01/2022,9,5948.5
18/01/2022,10,5808.5
18/01/2022,11,5644.25
18/01/2022,12,5623.5
18/01/2022,13,5560.5
18/01/2022,14,5678.75
18/01/2022,15,5867
18/01/2022,16,6050.75
18/01/2022,17,6139
18/01/2022,18,6119
18/01/2022,19,6071.5
18/01/2022,20,5878.25
18/01/2022,21,5651
18/01/2022,22,5388.25
18/01/2022,23,5122.75
19/01/2022,0,4810.75
19/01/2022,1,4596
19/01/2022,2,4428.25
19/01/2022,3,4371.75
19/01/2022,4,4491.75
19/01/2022,5,4845.25
19/01/2022,6,5595.5
19/01/2022,7,5983.25
19/01/2022,8,6110
19/01/2022,9,6193
19/01/2022,10,6258.75
19/01/2022,11,6325.25
19/01/2022,12,6334.75
19/01/2022,13,6248
19/01/2022,14,6178
19/01/2022,15,6197.5
19/01/2022,16,6262.5
19/01/2022,17,6298.75
19/01/2022,18,6217.25
19/01/2022,19,6162.75
19/01/2022,20,5956.5
19/01/2022,21,5750.25
19/01/2022,22,5496.75
19/01/2022,23,5233.25
20/01/2022,0,4920.5
20/01/2022,1,4698.25
20/01/2022,2,4529.75
20/01/2022,3,4449
20/01/2022,4,4582.75
20/01/2022,5,4932.75
20/01/2022,6,5642.5
20/01/2022,7,6068.25
20/01/2022,8,6201.25
20/01/2022,9,6283.75
20/01/2022,10,6335.75
20/01/2022,11,6391.75
20/01/2022,12,6435.5
20/01/2022,13,6367.25
20/01/2022,14,6353.5
20/01/2022,15,6410.75
20/01/2022,16,6466.75
20/01/2022,17,6429.75
20/01/2022,18,6313
20/01/2022,19,6190.75
20/01/2022,20,5964
20/01/2022,21,5739.5
20/01/2022,22,5533.75
20/01/2022,23,5284.25
21/01/2022,0,4969.75
21/01/2022,1,4730.75
21/01/2022,2,4528.75
21/01/2022,3,4430.75
21/01/2022,4,4464.25
21/01/2022,5,4533
21/01/2022,6,4806
21/01/2022,7,5118
21/01/2022,8,5447
21/01/2022,9,5685
21/01/2022,10,5836.75
21/01/2022,11,5935.75
21/01/2022,12,5891
21/01/2022,13,5737
21/01/2022,14,5630.25
21/01/2022,15,5611
21/01/2022,16,5718.75
21/01/2022,17,5752
21/01/2022,18,5683.5
21/01/2022,19,5628.25
21/01/2022,20,5464.5
21/01/2022,21,5255.5
21/01/2022,22,5032.5
21/01/2022,23,4774.5
22/01/2022,0,4470.25
22/01/2022,1,4316.75
22/01/2022,2,4153.75
22/01/2022,3,4098.5
22/01/2022,4,4127
22/01/2022,5,4190.5
22/01/2022,6,4418.75
22/01/2022,7,4674.5
22/01/2022,8,4989.75
22/01/2022,9,5236
22/01/2022,10,5368.75
22/01/2022,11,5422
22/01/2022,12,5354
22/01/2022,13,5215.25
22/01/2022,14,5188.25
22/01/2022,15,5245.5
22/01/2022,16,5427.75
22/01/2022,17,5568.75
22/01/2022,18,5573.25
22/01/2022,19,5555.25
22/01/2022,20,5434.5
22/01/2022,21,5199.5
22/01/2022,22,4931.75
22/01/2022,23,4650.25
23/01/2022,0,4370.75
23/01/2022,1,4243.5
23/01/2022,2,4076.75
23/01/2022,3,4031.5
23/01/2022,4,4204.5
23/01/2022,5,4635
23/01/2022,6,5521.75
23/01/2022,7,5887
23/01/2022,8,5931
23/01/2022,9,5818.75
23/01/2022,10,5713.75
23/01/2022,11,5615.25
23/01/2022,12,5629.5
23/01/2022,13,5599.75
23/01/2022,14,5721.75
23/01/2022,15,5923
23/01/2022,16,6060
23/01/2022,17,6157.75
23/01/2022,18,6104
23/01/2022,19,6051.5
23/01/2022,20,5865
23/01/2022,21,5639
23/01/2022,22,5371
23/01/2022,23,5111.75
24/01/2022,0,4793.75
24/01/2022,1,4577.75
24/01/2022,2,4388.25
24/01/2022,3,4331.5
24/01/2022,4,4459
24/01/2022,5,4836.75
24/01/2022,6,5619.5
24/01/2022,7,5927.5
24/01/2022,8,5916.5
24/01/2022,9,5777.5
24/01/2022,10,5645.5
24/01/2022,11,5574
24/01/2022,12,5639.5
24/01/2022,13,5624.5
24/01/2022,14,5676.75
24/01/2022,15,5871.5
24/01/2022,16,6038
24/01/2022,17,6218.75
24/01/2022,18,6197.5
24/01/2022,19,6154
24/01/2022,20,5966.25
24/01/2022,21,5721.25
24/01/2022,22,5480.5
24/01/2022,23,5208.25
25/01/2022,0,4887.75
25/01/2022,1,4678.75
25/01/2022,2,4513.5
25/01/2022,3,4457.5
25/01/2022,4,4603.75
25/01/2022,5,4974.25
25/01/2022,6,5757.25
25/01/2022,7,6096.75
25/01/2022,8,6134
25/01/2022,9,6116
25/01/2022,10,6098
25/01/2022,11,6149
25/01/2022,12,6219.75
25/01/2022,13,6239.5
25/01/2022,14,6231.5
25/01/2022,15,6283.75
25/01/2022,16,6348.75
25/01/2022,17,6412.5
25/01/2022,18,6347
25/01/2022,19,6274
25/01/2022,20,6055.25
25/01/2022,21,5813.75
25/01/2022,22,5548.25
25/01/2022,23,5274.25
26/01/2022,0,4942.25
26/01/2022,1,4700.25
26/01/2022,2,4524.5
26/01/2022,3,4462.25
26/01/2022,4,4594.5
26/01/2022,5,4963.5
26/01/2022,6,5729
26/01/2022,7,6083.75
26/01/2022,8,6193.25
26/01/2022,9,6256
26/01/2022,10,6282
26/01/2022,11,6317.25
26/01/2022,12,6307.25
26/01/2022,13,6229.25
26/01/2022,14,6216.75
26/01/2022,15,6274
26/01/2022,16,6312.5
26/01/2022,17,6380
26/01/2022,18,6310.5
26/01/2022,19,6244.75
26/01/2022,20,6042.75
26/01/2022,21,5824
26/01/2022,22,5587.25
26/01/2022,23,5316.5
27/01/2022,0,4993
27/01/2022,1,4762.75
27/01/2022,2,4595.5
27/01/2022,3,4555.75
27/01/2022,4,4690.5
27/01/2022,5,5047.25
27/01/2022,6,5774.5
27/01/2022,7,6145.5
27/01/2022,8,6272.75
27/01/2022,9,6340.25
27/01/2022,10,6372.75
27/01/2022,11,6379.5
27/01/2022,12,6376.75
27/01/2022,13,6254.75
27/01/2022,14,6220.25
27/01/2022,15,6300.75
27/01/2022,16,6381
27/01/2022,17,6418.75
27/01/2022,18,6305.25
27/01/2022,19,6202
27/01/2022,20,6000
27/01/2022,21,5790
27/01/2022,22,5553.25
27/01/2022,23,5319.75
28/01/2022,0,5001.25
28/01/2022,1,4760.25
28/01/2022,2,4567
28/01/2022,3,4483
28/01/2022,4,4504.5
28/01/2022,5,4581.75
28/01/2022,6,4860.25
28/01/2022,7,5167.5
28/01/2022,8,5476.25
28/01/2022,9,5661.75
28/01/2022,10,5776
28/01/2022,11,5816.25
28/01/2022,12,5768
28/01/2022,13,5610
28/01/2022,14,5505.5
28/01/2022,15,5534
28/01/2022,16,5670.75
28/01/2022,17,5769.25
28/01/2022,18,5712.75
28/01/2022,19,5672.75
28/01/2022,20,5518.75
28/01/2022,21,5312.25
28/01/2022,22,5064.75
28/01/2022,23,4804.75
29/01/2022,0,4513.25
29/01/2022,1,4358
29/01/2022,2,4218.5
29/01/2022,3,4129.75
29/01/2022,4,4159.5
29/01/2022,5,4230.75
29/01/2022,6,4468
29/01/2022,7,4721.5
29/01/2022,8,5051.25
29/01/2022,9,5397.75
29/01/2022,10,5599.25
29/01/2022,11,5745.5
29/01/2022,12,5633.75
29/01/2022,13,5410.5
29/01/2022,14,5296.75
29/01/2022,15,5354
29/01/2022,16,5545.5
29/01/2022,17,5764.25
29/01/2022,18,5820.25
29/01/2022,19,5813
29/01/2022,20,5656.5
29/01/2022,21,5412.25
29/01/2022,22,5133.25
29/01/2022,23,4854
30/01/2022,0,4575.75
30/01/2022,1,4449.25
30/01/2022,2,4325.5
30/01/2022,3,4280.25
30/01/2022,4,4451.5
30/01/2022,5,4898.75
30/01/2022,6,5809.5
30/01/2022,7,6156.25
30/01/2022,8,6096.25
30/01/2022,9,6044.5
30/01/2022,10,6037
30/01/2022,11,6060
30/01/2022,12,6167
30/01/2022,13,6224.75
30/01/2022,14,6222.75
30/01/2022,15,6294.75
30/01/2022,16,6379.5
30/01/2022,17,6463
30/01/2022,18,6417.5
30/01/2022,19,6352.25
30/01/2022,20,6115.5
30/01/2022,21,5884
30/01/2022,22,5607.5
30/01/2022,23,5352.25
31/01/2022,0,5035.5
31/01/2022,1,4830
31/01/2022,2,4655
31/01/2022,3,4594.75
31/01/2022,4,4752.75
31/01/2022,5,5121.5
31/01/2022,6,5879
31/01/2022,7,6147.5
31/01/2022,8,6024.25
31/01/2022,9,5696.25
31/01/2022,10,5525
31/01/2022,11,5474
31/01/2022,12,5549.75
31/01/2022,13,5648.25
31/01/2022,14,5794
31/01/2022,15,5976
31/01/2022,16,6172.5
31/01/2022,17,6362
31/01/2022,18,6339.25
31/01/2022,19,6268
31/01/2022,20,6044.75
31/01/2022,21,5832
31/01/2022,22,5590
31/01/2022,23,5307.5
01/02/2022,0,4965.75
01/02/2022,1,4751.25
01/02/2022,2,4569
01/02/2022,3,4502.5
01/02/2022,4,4655.75
01/02/2022,5,5056.5
01/02/2022,6,5803.75
01/02/2022,7,6061.75
01/02/2022,8,5924.25
01/02/2022,9,5773
01/02/2022,10,5679.75
01/02/2022,11,5724.25
01/02/2022,12,5895.5
01/02/2022,13,6054
01/02/2022,14,6085.5
01/02/2022,15,6099.75
01/02/2022,16,6185.75
01/02/2022,17,6338.25
01/02/2022,18,6313.5
01/02/2022,19,6266.5
01/02/2022,20,6057.25
01/02/2022,21,5811.25
01/02/2022,22,5558.5
01/02/2022,23,5283.25
02/02/2022,0,4929
02/02/2022,1,4707
02/02/2022,2,4543.5
02/02/2022,3,4492.5
02/02/2022,4,4634.5
02/02/2022,5,5017.5
02/02/2022,6,5799.75
02/02/2022,7,6083.5
02/02/2022,8,5920.75
02/02/2022,9,5639.75
02/02/2022,10,5477.5
02/02/2022,11,5469
02/02/2022,12,5661
02/02/2022,13,5801
02/02/2022,14,5969.5
02/02/2022,15,6081.75
02/02/2022,16,6163.75
02/02/2022,17,6319.25
02/02/2022,18,6302
02/02/2022,19,6248.25
02/02/2022,20,6072
02/02/2022,21,5847
02/02/2022,22,5592.25
02/02/2022,23,5330
03/02/2022,0,5073.75
03/02/2022,1,4836
03/02/2022,2,4671.5
03/02/2022,3,4615.75
03/02/2022,4,4735
03/02/2022,5,5129
03/02/2022,6,5889.25
03/02/2022,7,6188.25
03/02/2022,8,6274.5
03/02/2022,9,6275.75
03/02/2022,10,6300.25
03/02/2022,11,6302.5
03/02/2022,12,6315.5
03/02/2022,13,6327.5
03/02/2022,14,6388.25
03/02/2022,15,6475.5
03/02/2022,16,6503.5
03/02/2022,17,6538.75
03/02/2022,18,6412.25
03/02/2022,19,6280.25
03/02/2022,20,6050.5
03/02/2022,21,5835.25
03/02/2022,22,5617.5
03/02/2022,23,5354.25
04/02/2022,0,4972
04/02/2022,1,4731.5
04/02/2022,2,4521
04/02/2022,3,4405.75
04/02/2022,4,4444.5
04/02/2022,5,4538.5
04/02/2022,6,4815.75
04/02/2022,7,5117
04/02/2022,8,5364.5
04/02/2022,9,5460.5
04/02/2022,10,5402
04/02/2022,11,5478.75
04/02/2022,12,5339.25
04/02/2022,13,5113.75
04/02/2022,14,5065.25
04/02/2022,15,5266.5
04/02/2022,16,5562
04/02/2022,17,5852.75
04/02/2022,18,5852.5
04/02/2022,19,5831.25
04/02/2022,20,5663
04/02/2022,21,5436.75
04/02/2022,22,5201.25
04/02/2022,23,4950.25
05/02/2022,0,4646.25
05/02/2022,1,4492.75
05/02/2022,2,4353
05/02/2022,3,4267.25
05/02/2022,4,4287
05/02/2022,5,4391.25
05/02/2022,6,4635
05/02/2022,7,4863.75
05/02/2022,8,4955
05/02/2022,9,4939.25
05/02/2022,10,4896.5
05/02/2022,11,4961.5
05/02/2022,12,4938.75
05/02/2022,13,4853.75
05/02/2022,14,4886.25
05/02/2022,15,5101.5
05/02/2022,16,5461.75
05/02/2022,17,5827
05/02/2022,18,5916.75
05/02/2022,19,5903.5
05/02/2022,20,5786
05/02/2022,21,5550.75
05/02/2022,22,5278
05/02/2022,23,5016
06/02/2022,0,4751.5
06/02/2022,1,4634.25
06/02/2022,2,4492.75
06/02/2022,3,4464.5
06/02/2022,4,4630.75
06/02/2022,5,5090.5
06/02/2022,6,5993.25
06/02/2022,7,6298.25
06/02/2022,8,6148.75
06/02/2022,9,5850.75
06/02/2022,10,5694
06/02/2022,11,5587.5
06/02/2022,12,5536.75
06/02/2022,13,5456
06/02/2022,14,5646.75
06/02/2022,15,6028.25
06/02/2022,16,6372.25
06/02/2022,17,6619.75
06/02/2022,18,6671.25
06/02/2022,19,6645
06/02/2022,20,6440.75
06/02/2022,21,6203.75
06/02/2022,22,5921.75
06/02/2022,23,5664
07/02/2022,0,5364
07/02/2022,1,5153.75
07/02/2022,2,4988.75
07/02/2022,3,4964.75
07/02/2022,4,5102.25
07/02/2022,5,5486.5
07/02/2022,6,6257
07/02/2022,7,6564.75
07/02/2022,8,6360.25
07/02/2022,9,5989.25
07/02/2022,10,5729.75
07/02/2022,11,5599
07/02/2022,12,5551
07/02/2022,13,5534.75
07/02/2022,14,5713.25
07/02/2022,15,6106
07/02/2022,16,6344
07/02/2022,17,6625.25
07/02/2022,18,6701.5
07/02/2022,19,6653.25
07/02/2022,20,6460.75
07/02/2022,21,6209.5
07/02/2022,22,5921
07/02/2022,23,5657.5
08/02/2022,0,5336
08/02/2022,1,5120.5
08/02/2022,2,4944.25
08/02/2022,3,4886
08/02/2022,4,5009.25
08/02/2022,5,5399.25
08/02/2022,6,6175.25
08/02/2022,7,6414.75
08/02/2022,8,6217.75
08/02/2022,9,5945.5
08/02/2022,10,5702.5
08/02/2022,11,5546.25
08/02/2022,12,5475.25
08/02/2022,13,5508.75
08/02/2022,14,5669.75
08/02/2022,15,5999.75
08/02/2022,16,6269.75
08/02/2022,17,6586.25
08/02/2022,18,6672
08/02/2022,19,6625
08/02/2022,20,6404
08/02/2022,21,6159.75
08/02/2022,22,5904.5
08/02/2022,23,5651
09/02/2022,0,5391.75
09/02/2022,1,5174
09/02/2022,2,5004
09/02/2022,3,4952
09/02/2022,4,5100.75
09/02/2022,5,5529.5
09/02/2022,6,6291.75
09/02/2022,7,6527
09/02/2022,8,6214.75
09/02/2022,9,5811
09/02/2022,10,5507.5
09/02/2022,11,5353.5
09/02/2022,12,5352.5
09/02/2022,13,5391.5
09/02/2022,14,5573.5
09/02/2022,15,5938.5
09/02/2022,16,6274
09/02/2022,17,6613
09/02/2022,18,6701.75
09/02/2022,19,6676.5
09/02/2022,20,6472
09/02/2022,21,6254
09/02/2022,22,6006
09/02/2022,23,5745.25
10/02/2022,0,5428.75
10/02/2022,1,5207.75
10/02/2022,2,5043.25
10/02/2022,3,4991.75
10/02/2022,4,5136.5
10/02/2022,5,5525.5
10/02/2022,6,6279.5
10/02/2022,7,6506.25
10/02/2022,8,6198.5
10/02/2022,9,5782.75
10/02/2022,10,5477
10/02/2022,11,5335
10/02/2022,12,5323.5
10/02/2022,13,5320.25
10/02/2022,14,5507.25
10/02/2022,15,5963.75
10/02/2022,16,6241.5
10/02/2022,17,6519.75
10/02/2022,18,6551.5
10/02/2022,19,6485.5
10/02/2022,20,6298.25
10/02/2022,21,6088.25
10/02/2022,22,5858.5
10/02/2022,23,5595.75
11/02/2022,0,5288.25
11/02/2022,1,5075
11/02/2022,2,4887.75
11/02/2022,3,4793.75
11/02/2022,4,4844
11/02/2022,5,4952.5
11/02/2022,6,5243.75
11/02/2022,7,5490.75
11/02/2022,8,5574.25
11/02/2022,9,5627.75
11/02/2022,10,5535
11/02/2022,11,5479.75
11/02/2022,12,5362.5
11/02/2022,13,5187.75
11/02/2022,14,5171.75
11/02/2022,15,5405.5
11/02/2022,16,5643
11/02/2022,17,5860.75
11/02/2022,18,5883.5
11/02/2022,19,5825.75
11/02/2022,20,5643.25
11/02/2022,21,5416.25
11/02/2022,22,5156.25
11/02/2022,23,4904.75
12/02/2022,0,4607
12/02/2022,1,4462.75
12/02/2022,2,4311.5
12/02/2022,3,4216.75
12/02/2022,4,4233
12/02/2022,5,4345.25
12/02/2022,6,4561.5
12/02/2022,7,4805.25
12/02/2022,8,4885
12/02/2022,9,4866.5
12/02/2022,10,4733.75
12/02/2022,11,4634.75
12/02/2022,12,4636.25
12/02/2022,13,4662.5
12/02/2022,14,4771
12/02/2022,15,4963
12/02/2022,16,5239.5
12/02/2022,17,5569.5
12/02/2022,18,5744.75
